Keys All,0
Keys Unique,0

Positive
,Group  1,Group  2,Group  3,Group  4,Group  5,Group  6,Group  7,Group  8,Group  9,Group 10,Group 11,Group 12,Group 13
,-,-,-,-,-,-,-,-,-,-,-,-,-

Positive,Unique
,Group  1,Group  2,Group  3,Group  4,Group  5,Group  6,Group  7,Group  8,Group  9,Group 10,Group 11,Group 12,Group 13
,-,-,-,-,-,-,-,-,-,-,-,-,-

Negative
,Group  1,Group  2,Group  3,Group  4,Group  5,Group  6,Group  7,Group  8,Group  9,Group 10,Group 11,Group 12,Group 13
,0,0,0,0,0,0,0,0,0,0,0,0,0

Negative,Unique
,Group  1,Group  2,Group  3,Group  4,Group  5,Group  6,Group  7,Group  8,Group  9,Group 10,Group 11,Group 12,Group 13
,0,0,0,0,0,0,0,0,0,0,0,0,0
